Year,Month,Day,Time (in MPH),Speed
2019,12,02,14:01:31,30.279656694805535
2019,12,02,14:01:36,20.21569987985106
2019,12,02,14:01:51,18.44349198764391
2019,12,02,14:01:56,20.27187652473165
2019,12,02,14:02:24,28.786470149185376
2019,12,02,14:02:30,20.630285381714017
2019,12,02,14:02:35,17.336657906992375
2019,12,02,14:02:45,18.917569323960024
2019,12,02,14:02:50,20.65816983197745
2019,12,02,14:16:21,25.694900541827252
2019,12,02,14:16:27,19.31582235760801
2020,04,06,12:35:31,53.66951811477205
2020,04,06,12:35:34,35.560061486694835
2020,04,06,12:35:37,28.82663148277507
2020,04,06,12:35:42,33.55095647582532
2020,04,06,12:35:45,38.67337850405791
2020,04,06,12:39:34,50.51249160477757
2020,04,06,12:39:37,33.16585302530353
2020,04,06,12:39:40,31.55724889550116
2020,04,06,12:39:45,31.832828731452125
2020,04,06,13:07:43,39.89822718709221
2020,04,06,16:07:54,122.22812970019413
2020,04,06,16:08:26,44.58096397363177
2020,04,06,16:08:27,67.28188605810873
2020,04,06,16:08:37,17.19248707787665
2020,04,06,16:08:37,43.49776420069476
2020,04,06,16:08:51,41.95737940225573
2020,04,06,16:08:51,80.65303329798517
2020,04,06,16:09:13,20.849601361619353
2020,04,06,16:10:07,53.800403982549355
2020,04,06,16:10:10,29.49109935855302
2020,04,06,16:10:12,28.394329447716476
2020,04,06,16:10:16,36.81504589264817
2020,04,06,16:10:18,29.596675273621717
2020,04,06,16:23:44,49.70002459326006
2020,04,06,16:23:47,26.241485149492725
2020,04,06,16:23:50,24.051200911370838
2020,04,06,16:23:54,29.921986278352144
2020,04,06,16:23:57,22.996836448448676
2020,04,06,16:29:03,46.89141638085027
2020,04,06,16:29:06,27.91708499683845
2020,04,06,16:29:09,25.183018675837598
2020,04,06,16:29:14,29.47700606008164
2020,04,06,16:29:16,23.377838423770733
2020,04,06,16:33:02,72.88691461320506
2020,04,06,16:33:05,41.82157031074748
2020,04,06,16:33:08,40.4599081471682
2020,04,06,16:33:13,51.52803621264203
2020,04,06,16:33:15,38.603995736489146
2020,04,06,16:34:57,73.70263432302418
2020,04,06,16:35:00,39.64737308675172
2020,04,06,16:35:03,37.21920991036265
2020,04,06,16:35:08,49.29986951431465
2020,04,06,16:35:11,37.88623496029723
2020,04,06,16:35:18,75.61051357191947
2020,04,06,16:35:21,43.269087536542344
2020,04,06,16:35:23,38.06465688453881
2020,04,06,16:35:28,54.072385004590494
2020,04,06,16:35:31,37.93160944055701
2020,04,06,16:35:37,73.55570944303786
2020,04,06,16:35:40,40.587149886512755
2020,04,06,16:35:43,40.392836187812925
2020,04,06,16:35:48,46.852663548682905
2020,04,06,16:35:51,38.05873352836053
2020,04,06,16:37:07,73.08465170431577
2020,04,06,16:37:10,42.21410956608749
2020,04,06,16:37:13,35.9788089616434
2020,04,06,16:37:18,45.1925809887573
2020,04,06,16:37:21,37.55145350274152
2020,04,06,16:38:01,65.94164008218927
2020,04,06,16:38:05,41.819586140343766
2020,04,06,16:38:08,36.22078524438552
2020,04,06,16:38:13,42.321031921877456
2020,04,06,16:38:16,34.34839995737564
2020,04,06,16:39:52,73.71601422207847
2020,04,06,16:39:56,50.13687314392815
2020,04,06,16:39:59,42.97099733879147
2020,04,06,16:40:05,47.5053400840765
2020,04,06,16:40:09,49.38764596333167
2020,04,06,16:40:15,77.941069788392
2020,04,06,16:40:19,49.04794067128845
2020,04,06,16:40:23,41.8598376622212
2020,04,06,16:40:29,42.63049683808607
2020,04,06,16:40:33,50.14873653419989
2020,04,06,16:40:40,78.62540877926703
2020,04,06,16:40:44,45.45052609553823
2020,04,06,16:40:47,40.89575170647998
2020,04,06,16:40:53,44.62328697019294
2020,04,06,16:40:57,50.245390118998536
2020,04,06,16:41:44,57.26880498397048
2020,04,06,16:41:47,45.84987922437392
2020,04,06,16:41:47,31.042751124504612
2020,04,06,16:41:50,28.754269794754574
2020,04,06,16:41:56,75.12274881239
2020,04,06,16:42:00,71.98414076232692
2020,04,06,16:42:14,62.18868853381795
2020,04,06,16:42:17,44.937531779703136
2020,04,06,16:42:17,33.05884740900952
2020,04,06,16:42:21,28.45611596769727
2020,04,06,16:42:27,64.00505995825982
2020,04,06,16:42:30,75.79660876848324
2020,04,06,16:42:54,94.23470096444454
2020,04,06,16:42:58,44.32397893014212
2020,04,06,16:43:02,35.42395362928378
2020,04,06,16:43:08,43.552303340960435
2020,04,06,16:43:11,49.07148625791043
2020,04,06,16:44:11,86.75543743880426
2020,04,06,16:44:14,56.72763108229026
2020,04,06,16:44:17,48.36393154270545
2020,04,06,16:44:23,51.952319067228984
2020,04,06,16:44:26,56.825322417628705
2020,04,06,16:44:37,80.40075610327962
2020,04,06,16:44:40,49.13264714117863
2020,04,06,16:44:44,42.77999555660224
2020,04,06,16:44:50,46.41115934085669
2020,04,06,16:44:53,52.01785435090625
2020,04,06,16:47:35,73.93788432368824
2020,04,06,16:47:39,47.63056203471871
2020,04,06,16:47:49,47.41944221641481
2020,04,06,16:48:11,73.40171615894367
2020,04,06,16:48:15,49.47206999396874
2020,04,06,16:48:19,39.19492011130307
2020,04,06,16:48:25,46.16593785549944
2020,04,06,16:48:28,51.66029636559725
2020,04,06,16:48:46,69.69438689309082
2020,04,06,16:48:50,49.613561421683464
2020,04,06,16:48:54,41.948828631398555
2020,04,06,16:49:00,45.92550205738584
2020,04,06,16:49:03,51.221667020073596
2020,04,06,16:49:39,73.86475222213535
2020,04,06,16:49:43,51.198197330859536
2020,04,06,16:49:46,43.94567261294915
2020,04,06,16:49:52,47.63936921560568
2020,04,06,16:49:56,49.81505519363066
2020,04,06,16:51:36,73.66409298121053
2020,04,06,16:51:39,46.79103024671957
2020,04,06,16:51:43,43.5667794034058
2020,04,06,16:51:48,43.71106066119757
2020,04,06,16:51:53,53.09683478311367
2020,04,06,16:52:51,74.24784541352062
2020,04,06,16:52:55,44.800030099778105
2020,04,06,16:52:59,38.45241301856006
2020,04,06,16:53:05,44.41197383400452
2020,04,06,16:53:09,47.47557461496965
2020,04,06,16:54:35,71.98781070856914
2020,04,06,16:54:38,49.35813728509171
2020,04,06,16:54:42,42.863544979805205
2020,04,06,16:54:48,43.36921063927124
2020,04,06,16:54:52,48.69906380606852
2020,04,06,16:55:45,75.562481955713
2020,04,06,16:55:49,49.99784495535159
2020,04,06,16:55:53,39.075437931518614
2020,04,06,16:55:58,44.69893955173819
2020,04,06,16:56:03,51.8406243197857
2020,04,06,18:13:42,90.70308518566067
2020,04,06,18:13:45,58.653145508404315
2020,04,06,18:13:48,50.64432764918714
2020,04,06,18:13:52,59.12729433866803
2020,04,06,18:13:56,59.72758320226319
2020,04,06,18:17:40,27.112448397106817
2020,04,06,18:17:51,18.777222804602786
2020,04,06,18:17:55,25.548308020473247
2020,04,06,18:18:22,26.506259801693677
2020,04,06,18:18:32,18.053177457617537
2020,04,06,18:18:43,28.37954482852847
2020,04,06,18:18:53,17.854835433097083
2020,04,06,18:18:58,27.875359563053014
2020,04,06,18:19:39,22.59077433132701
2020,04,06,18:19:55,25.486139949046933
2020,04,06,18:50:33,27.949766224323014
2020,04,06,18:54:09,27.661372762541657
2020,04,06,18:54:19,17.610725778363832
2020,04,06,18:56:07,28.59131959706275
2020,04,06,18:56:17,17.981025321023143
2020,04,06,18:56:21,27.647487268292178
2020,04,06,19:03:33,35.21507592917454
2020,04,06,19:03:40,25.06220517279524
2020,04,06,19:03:49,26.450415254727194
2020,04,06,19:04:14,34.32487474966826
2020,04,06,19:04:21,24.05888034423846
2020,04,06,19:04:26,40.57786714766504
2020,04,06,19:04:26,20.73349713852651
2020,04,06,19:05:18,42.33915964853099
2020,04,06,19:05:23,30.072680020562135
2020,04,06,19:05:24,31.31612675424968
2020,04,06,19:05:28,42.19233074798228
2020,04,06,19:05:28,25.144043385834667
2020,04,06,20:14:52,33.84226932453095
2020,04,06,20:14:58,24.367174226658026
2020,04,06,20:15:17,84.677684306419
2020,04,06,20:15:20,56.070683496803916
2020,04,06,20:15:24,49.23528521823763
2020,04,06,20:16:44,75.72505803944155
2020,04,06,20:16:47,54.23369418974432
2020,04,06,20:16:50,46.78458465746029
2020,04,06,20:16:56,53.2238275336097
2020,04,06,20:16:59,59.97560666671759
2020,04,06,20:18:25,81.72669128309737
2020,04,06,20:18:30,54.95130983844647
2020,04,06,21:13:25,78.65582854605212
2020,04,06,21:13:29,56.29183440969367
2020,04,06,21:13:32,48.384481777599206
2020,04,06,21:13:37,51.108028660330945
2020,04,06,21:13:40,58.72060877816853
2020,04,06,21:15:13,78.36821460935039
2020,04,06,21:15:16,56.87915230563977
2020,04,06,21:15:19,47.39540526956849
2020,04,06,21:17:07,83.34268103158449
2020,04,06,21:17:10,55.83972548019881
2020,04,06,21:17:13,47.43698543234555
2020,04,06,21:17:18,51.26509160896868
2020,04,06,21:17:21,61.90757762744124
2020,04,06,21:18:02,87.03461733090586
2020,04,06,21:18:06,50.905924592984924
2020,04,06,21:18:09,49.112313959543805
2020,04,06,21:18:14,48.57372516359411
2020,04,06,21:18:17,56.57573672622059
2020,04,06,21:26:25,80.12132617082953
2020,04,06,21:26:29,50.38828831711783
2020,04,06,21:26:32,44.41823816609946
2020,04,06,21:26:38,50.164658322074956
2020,04,06,21:26:42,51.094371163543144
2020,04,06,21:27:07,79.47210530272504
2020,04,06,21:27:11,52.63130534333427
2020,04,06,21:27:14,44.96263260070927
2020,04,06,21:27:20,48.68866682271647
2020,04,06,21:27:23,56.250546631655446
2020,04,06,21:31:03,80.20532836399794
2020,04,06,21:31:06,53.382501188550975
2020,04,06,21:31:10,44.97708522078549
2020,04,06,21:31:15,48.43939798202584
2020,04,06,21:31:19,56.01423523891342
2020,04,06,21:32:12,82.52850067042591
2020,04,06,21:32:15,51.75866740908467
2020,04,06,21:32:19,46.93688148654789
2020,04,06,21:32:24,51.50289117991236
2020,04,06,21:32:28,53.700929403013504
2020,04,06,21:36:41,75.15188793713814
2020,04,06,21:36:45,49.77550014913107
2020,04,06,21:36:48,41.75690933403149
